testbed,timestamp,commit_sha,commit_branch,commit_timestamp,commit_author_timestamp,python_version,benchmark_name,benchmark_fullname,benchmark_mean_s,benchmark_stddev_s,benchmark_median_s,benchmark_iqr_s,benchmark_rounds,benchmark_iterations
ubuntu-latest,2025-03-04T11:08:29.134093+00:00,02aa874145833f043ddadc4168743997c3e75155,main,2025-03-04T11:07:05+00:00,2025-03-04T11:07:05+00:00,3.9.21,test_intersection_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_none,4.01e-7,5.5e-8,3.93e-7,4e-9,110657,20
ubuntu-latest,2025-03-04T11:08:29.134093+00:00,02aa874145833f043ddadc4168743997c3e75155,main,2025-03-04T11:07:05+00:00,2025-03-04T11:07:05+00:00,3.9.21,test_intersection_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_not_none,4.915e-6,6.86e-7,4.859e-6,5.1e-8,105966,1
ubuntu-latest,2025-03-04T11:08:29.134093+00:00,02aa874145833f043ddadc4168743997c3e75155,main,2025-03-04T11:07:05+00:00,2025-03-04T11:07:05+00:00,3.9.21,test_union_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_none,4.25e-7,4e-8,4.19e-7,1.4e-8,109794,20
ubuntu-latest,2025-03-04T11:08:29.134093+00:00,02aa874145833f043ddadc4168743997c3e75155,main,2025-03-04T11:07:05+00:00,2025-03-04T11:07:05+00:00,3.9.21,test_union_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_not_none,4.879e-6,6.57e-7,4.839e-6,9.1e-8,111025,1
ubuntu-latest,2025-03-04T11:08:29.134093+00:00,02aa874145833f043ddadc4168743997c3e75155,main,2025-03-04T11:07:05+00:00,2025-03-04T11:07:05+00:00,3.9.21,test_sorting,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_sorting,0.217387051,0.00407991,0.216271809,0.006694066,5,1
ubuntu-latest,2025-03-04T11:17:24.801818+00:00,a6cff6b187bbdafecc09160de7290430a1ebfc19,main,2025-03-04T11:15:57+00:00,2025-03-04T11:15:57+00:00,3.9.21,test_any_overlapping,tests/benchmarks/test_ranges.py::test_any_overlapping,0.002301586,0.000195221,0.002266159,0.000014768,431,1
ubuntu-latest,2025-03-04T11:17:24.801818+00:00,a6cff6b187bbdafecc09160de7290430a1ebfc19,main,2025-03-04T11:15:57+00:00,2025-03-04T11:15:57+00:00,3.9.21,test_any_gaps,tests/benchmarks/test_ranges.py::test_any_gaps,0.007633209,0.000515717,0.007538153,0.000073631,101,1
ubuntu-latest,2025-03-04T11:17:24.801818+00:00,a6cff6b187bbdafecc09160de7290430a1ebfc19,main,2025-03-04T11:15:57+00:00,2025-03-04T11:15:57+00:00,3.9.21,test_intersection_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_none,4.27e-7,6.7e-8,4.22e-7,4e-9,110425,20
ubuntu-latest,2025-03-04T11:17:24.801818+00:00,a6cff6b187bbdafecc09160de7290430a1ebfc19,main,2025-03-04T11:15:57+00:00,2025-03-04T11:15:57+00:00,3.9.21,test_intersection_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_intersection_is_not_none,4.944e-6,6.75e-7,4.879e-6,8e-8,106293,1
ubuntu-latest,2025-03-04T11:17:24.801818+00:00,a6cff6b187bbdafecc09160de7290430a1ebfc19,main,2025-03-04T11:15:57+00:00,2025-03-04T11:15:57+00:00,3.9.21,test_union_is_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_none,4.21e-7,1.03e-7,4.17e-7,9e-9,110534,20
ubuntu-latest,2025-03-04T11:17:24.801818+00:00,a6cff6b187bbdafecc09160de7290430a1ebfc19,main,2025-03-04T11:15:57+00:00,2025-03-04T11:15:57+00:00,3.9.21,test_union_is_not_none,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_union_is_not_none,4.867e-6,6.7e-7,4.809e-6,7e-8,107562,1
ubuntu-latest,2025-03-04T11:17:24.801818+00:00,a6cff6b187bbdafecc09160de7290430a1ebfc19,main,2025-03-04T11:15:57+00:00,2025-03-04T11:15:57+00:00,3.9.21,test_sorting,tests/benchmarks/test_ranges.py::TestFiniteDatetimeRange::test_sorting,0.220027215,0.001453983,0.219146112,0.002231919,5,1
